0.65	0.754	0.519	11.5 
0.638	0.713	0.875	11.6 
0.703	0.75	0.912	10.5 
0.63	0.718	0.895	10.6 
0.648	0.72	0.915	11.5 
0.673	0.727	0.903	11.8 
0.628	0.706	0.860 	10.3 
0.648	0.713	0.897	11.3 
0.672	0.743	0.921	11.6 
0.625	0.707	0.900 	11.1 
0.636	0.721	0.914	11.3 
0.655	0.732	0.901	11.0 
0.646	0.723	0.879	11.4 
0.684	0.734	0.930 	10.2 
0.695	0.754	0.941	10.6 
